id,name,price,point
1,Bàn ủi khô BlueStone DIB-3726 1300W,290.000₫,4.4
2,Bàn ủi hơi nước cầm tay Philips STH1000/10 980W,729.000₫,4.2
3,Bàn ủi hơi nước Philips GC7933/30 2400W,3.990.000₫,
4,Bàn ủi hơi nước đứng Kangaroo KG-75B8 1580W,1.890.000₫,3.7
5,Bàn ủi khô Philips HD1172 1100W,355.000₫,4.6
6,Bàn ủi hơi nước Sunhouse SHD2065 1600W,250.000₫,3.9
7,Bàn ủi khô Electrolux EDI2004 1300W,300.000₫,4.4
8,Bàn ủi khô Electrolux EDI1004 1300W,300.000₫,4.5
9,Bàn ủi hơi nước Philips GC1756 2000W,750.000₫,4.3
10,Bàn ủi hơi nước Philips GC1740 2000W,549.000₫,4.2
11,Bàn ủi khô Panasonic NI-317TVRA 1000W,440.000₫,4.4
12,Bàn ủi khô Panasonic PABU-NI-317TXRA 1000W,440.000₫,4.5
13,Bàn ủi hơi nước Delites ES-2472 1740W,260.000₫,4.4
14,Bàn ủi hơi nước BlueStone SIB-3819 1200W,550.000₫,4.3
15,Bàn ủi hơi nước Tefal Easy Steam FV1955E0 1400W,400.000₫,4.1
16,Bàn ủi hơi nước AVA RC-2022 2400W,350.000₫,4.3
17,Bàn ủi hơi nước Philips DST1040/30 2000W,640.000₫,4.6
18,Bàn ủi hơi nước cầm tay Philips STH3010 1090W,950.000₫,4.2
19,Bàn ủi hơi nước cầm tay BlueStone GSB-4031 1630W,790.000₫,3.9
20,Bàn ủi hơi nước cầm tay Tefal DT1034E1 1200W,690.000₫,
21,Bàn ủi hơi nước Electrolux ESI4017 1600W,450.000₫,4.5
22,Bàn ủi hơi nước đứng Tefal IT3280E1 2000W,1.990.000₫,3.8
23,Bàn ủi hơi nước Philips DST3030/70 2400W,999.000₫,4.4
24,Bàn ủi hơi nước Sunhouse SHD2067 1800W,290.000₫,3.9
25,Bàn ủi hơi nước Panasonic NI-S630VRA 2400W,940.000₫,3.8
26,Bàn ủi hơi nước đứng Philips STE1020/40 1800W,1.600.000₫,4.5
27,Bàn ủi hơi nước Panasonic NI-S430GRA 2300W,690.000₫,4.6
28,Bàn ủi hơi nước đứng Philips STE1040/20 1800W,2.300.000₫,4.7
29,Bàn ủi hơi nước đứng Tefal IXEO Plus QT1510E0 2980W,3.990.000₫,4.6
30,Bàn ủi hơi nước đứng Tefal IT3420E0 1850W,1.790.000₫,3.7
31,Bàn ủi khô Delites HJ-8057B 1300W,270.000₫,4.5
32,Bàn ủi hơi nước Panasonic NI-M300TVRA 1800W,680.000₫,4.4
33,Bàn ủi hơi nước Panasonic NI-M250TPRA 1550W,610.000₫,4.3
34,Bàn ủi hơi nước đứng BlueStone GSB-3915 1800W,1.150.000₫,3.9
35,Bàn ủi hơi nước Panasonic NI-M300TARA 1800W,680.000₫,4.3
36,Bàn ủi hơi nước BlueStone SIB-3835 2720W,650.000₫,
37,Bàn ủi hơi nước đứng Philips STE3170/80 2000W,3.600.000₫,4.3
38,Bàn ủi hơi nước cầm tay Philips STH3010/30 1090W,950.000₫,4
39,Bàn ủi hơi nước đứng Electrolux E5GS1-44MN 1800W,2.200.000₫,3.9
